ID	Log2FC	FDR	AveExpr	P value	MUP-uPA CPM 1	MUP-uPA CPM 2	MUP-uPA CPM 3	MUP-uPA CPM 4	MuP-uPA/sgp130_BGP-15_CPM 1	MuP-uPA/sgp130_BGP-15_CPM 2	MuP-uPA/sgp130_BGP-15_CPM 3	MuP-uPA/sgp130_BGP-15_CPM 4
ENSMUSG00000082100	5.92204018	5.67E-75	4.21950047	3.72E-79	0.071	1.084	0.211	1.017	35.528	35.739	34.767	34.149
ENSMUSG00000004552	4.698155626	3.64E-63	3.748371461	4.77E-67	0.858	0.702	0.984	1.56	29.843	26.33	21.66	21.213
ENSMUSG00000094793	5.177677713	1.42E-50	3.834855444	2.79E-54	0.214	1.02	0.773	1.085	19.896	29.911	34.288	21.7
ENSMUSG00000078674	5.095996063	1.12E-38	3.58629633	2.94E-42	1.43	0.893	0.281	0.203	18.08	23.592	29.892	17.318
ENSMUSG00000030278	-2.576532422	7.10E-31	4.650958032	2.33E-34	53.189	41.519	41.747	41.709	9	4.704	6.554	7.233
ENSMUSG00000074254	-5.169890064	1.87E-28	5.483676091	7.38E-32	63.126	92.54	38.655	155.442	3.711	2.177	1.279	2.087
ENSMUSG00000078675	4.82430541	2.19E-24	5.370598476	1.01E-27	1.644	3.635	1.054	4.951	40.581	88.96	104.781	70.246
ENSMUSG00000073830	3.734100868	1.51E-23	8.291847565	7.92E-27	49.829	52.425	18.695	57.511	439.205	485.805	722.598	579.774
ENSMUSG00000089991	1.989100936	2.33E-23	3.97248719	1.37E-26	7.078	5.995	7.169	6.036	23.291	25.768	22.619	23.995
ENSMUSG00000079507	-2.391758073	4.55E-21	4.910873496	2.98E-24	35.817	55.677	61.074	55.544	11.685	6.319	8.712	10.015
ENSMUSG00000039519	2.474118583	1.49E-20	7.390014675	1.07E-23	72.991	50.767	32.259	55.883	243.011	257.682	310.187	277.02
ENSMUSG00000078683	5.150711032	8.59E-20	1.676250994	6.76E-23	0.143	0.064	0.281	0.203	3.869	4.915	9.351	5.147
ENSMUSG00000034634	-3.544737049	3.00E-19	4.534531011	2.56E-22	66.128	17.092	72.601	27.535	4.105	3.37	2.238	4.173
ENSMUSG00000008734	-2.391464183	8.70E-16	3.430554593	7.99E-19	15.566	20.77	17.489	19.603	5.02	2.879	2.078	3.058
ENSMUSG00000030137	-2.126487174	3.24E-15	3.224345584	3.19E-18	16.8	10.396	21.155	14.717	3.079	3.511	3.117	3.338
ENSMUSG00000038092	5.106449247	7.41E-12	6.875679341	7.78E-15	2.359	16.901	0.843	5.697	204.009	256.138	227.146	187.161
ENSMUSG00000108884	2.100430365	1.44E-11	3.368225436	1.60E-14	5.791	2.551	5.763	2.441	20.606	13.972	14.626	14.675
ENSMUSG00000068220	-1.332285488	1.90E-11	5.155609419	2.25E-14	53.761	47.769	54.398	55.68	22.896	17.764	20.381	16.344
ENSMUSG00000096688	4.555961971	4.02E-11	9.306019415	5.02E-14	31.885	100.002	7.028	64.903	900.673	1064.572	1731.485	936.291
ENSMUSG00000053303	-4.228427204	6.48E-11	1.463533466	8.51E-14	2.288	7.717	4.357	5.426	0.474	0.14	0.08	0.278
