ID	Log2FC	FDR	AveExpr	P value	MUP-uPA_1 CPM	MUP-uPA_2 CPM	MUP-uPA_3 CPM	MUP-uPA_4 CPM	MUP-uPA-doubleTrt_1 CPM	MUP-uPA-doubleTrt_2 CPM	MUP-uPA-doubleTrt_3 CPM	MUP-uPA-doubleTrt_4 CPM
ENSMUSG00000073830	4.202007438	2.67E-73	7.336668617	1.75E-77	13.503	19.089	22.551	15.443	288.022	228.814	374.33	264.502
ENSMUSG00000073842	4.712726962	1.35E-63	8.974838009	1.77E-67	38.554	42.662	26.448	48.508	803.573	646.738	1114.055	1072.896
ENSMUSG00000094793	4.869685358	4.54E-53	3.526642681	8.93E-57	0.804	0.543	1.601	0.264	24.617	23.211	19.491	16.568
ENSMUSG00000078675	3.551268991	2.27E-39	4.494617053	5.95E-43	4.539	2.649	5.498	2.31	37.02	32.388	52.789	34.23
ENSMUSG00000096688	4.378363289	3.53E-38	8.12416539	1.16E-41	19.536	34.442	26.796	27.587	423	437.656	891.393	268.151
ENSMUSG00000082100	5.507479099	6.70E-36	4.281310172	2.64E-39	0.46	2.446	0.139	0.528	34.031	38.865	38.374	32.187
ENSMUSG00000004552	4.837173512	1.92E-32	4.234026312	8.81E-36	0.517	2.581	0.418	1.848	34.158	46.243	32.621	24.523
ENSMUSG00000078674	4.41162027	6.31E-30	2.017197886	3.31E-33	0.402	0.611	0.139	0.33	6.87	7.377	6.565	7.883
ENSMUSG00000096674	3.700146146	2.85E-27	7.989529279	1.69E-30	26.948	36.616	48.442	40.985	329.495	304.386	820.128	328.657
ENSMUSG00000074254	-4.626871064	5.60E-27	6.427746239	3.68E-30	142.437	179.75	69.601	299.233	5.534	8.877	3.249	7.518
ENSMUSG00000053303	-5.081922303	7.00E-25	3.294974481	5.05E-28	15.686	19.157	9.675	33.725	0.064	0.6	0.677	0.73
ENSMUSG00000039519	1.986234899	1.30E-19	6.932999667	1.03E-22	45.219	48.572	69.949	44.68	220.66	147.365	163.105	202.026
ENSMUSG00000078683	5.474336817	2.08E-17	0.731366511	1.78E-20	0	0.204	0.07	0	3.689	2.639	3.046	2.263
ENSMUSG00000038092	4.71167481	8.21E-16	6.0922432	7.54E-19	9.193	2.378	9.257	0.66	152.598	107.3	117.896	117.435
